Op_Seq,BOM_Target(EA),Item_Description,Ref_Des,PDF_Actual(EA),Actual_fond(EA),Not_found(EA),Result
50,110.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 150KOHM 1% 100MW 100PPM 7""","YR19,YR360,YR542,YR543,YR544,YR545,YR546,YR547,YR548,YR549,YR550,YR551,YR552,YR553,YR554,YR555,YR556,YR557,YR558,YR559,YR560,YR561,YR562,YR563,YR564,YR565,YR566,YR567,YR568,YR569,YR570,YR571,YR572,YR573,YR574,YR575,YR576,YR577,YR582,YR584,YR585,YR587,YR588,YR589,YR590,YR591,YR592,YR593,YR594,YR595,YR596,YR597,YR598,YR599,YR600,YR601,YR602,YR603,YR604,YR605,YR606,YR607,YR608,YR609,YR610,YR611,YR661,YR662,YR663,YR664,YR665,YR666,YR667,YR668,YR669,YR670,YR671,YR672,YR673,YR674,YR675,YR676,YR677,YR678,YR679,YR680,YR681,YR682,YR683,YR684,YR685,YR686,YR687,YR688,YR689,YR690,YR695,YR696,YR697,YR698,YR699,YR700,YR701,YR702,YR731,YR732,YR733,YR734,YR735,YR736",,,,
50,11.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE RES.0603 RC22H 3,32K 1% 100MW 100PPM 7""","YR61,YR66,YR98,YR101,YR104,YR107,YR258,YR372,YR399,YR419,YR458",,,,
50,8.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 39,2KOHM 1% 100MW 100PPM 7""","YR659,YR660,YR692,YR693,YR703,YR704,YR737,YR738",,,,
50,5.0,RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 392 OHM 1%,"YR67,YR105,YR185,YR189,YR387",,,,
50,42.0,DIODE_DIODE ZENER CMS 5V1 5% SOD80,"YCR8,YCR9,YCR10,YCR11,YCR12,YCR13,YCR89,YCR90,YCR91,YCR92,YCR93,YCR94,YCR95,YCR96,YCR97,YCR98,YCR99,YCR100,YCR101,YCR102,YCR103,YCR104,YCR105,YCR106,YCR124,YCR125,YCR126,YCR127,YCR128,YCR129,YCR130,YCR131,YCR132,YCR133,YCR134,YCR135,YCR136,YCR137,YCR138,YCR139,YCR140,YCR141",,,,
50,2.0,"RESISTOR_THICK-FILM RESISTOR 0603 2,21KOHM 1% 63MW 100PPM BDE","YR83,YR84",,,,
50,2.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE RR0603K 2,15 KOHM 1% 0,063W","YR233,YR257",,,,
50,2.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE RR0603K 15 OHM 1% 0,063W","YR85,YR89",,,,
50,4.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 17,4KOHM 1% 100MW 100PPM 7""","YR30,YR43,YR53,YR54",,,,
50,25.0,RES_SMD RES. 0603 1KOHM 1%,"YR8,YR9,YR10,YR11,YR24,YR25,YR79,YR81,YR88,YR153,YR155,YR159,YR222,YR224,YR261,YR262,YR277,YR286,YR334,YR359,YR373,YR388,YR403,YR464,YR482",,,,
50,6.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 20KOHM 1% 0,1W 100PPM BDE","YR23,YR39,YR56,YR64,YR80,YR93",,,,
50,116.0,"RESISTOR_THICK-FILM RESISTOR 0603 28KOHM 1% 100MW 100PPM 7""","YR462,YR463,YR470,YR471,YR477,YR478,YR489,YR490,YR493,YR494,YR500,YR501,YR512,YR513,YR519,YR520,YR523,YR524,YR528,YR529,YR533,YR534,YR578,YR579,YR612,YR613,YR614,YR615,YR616,YR617,YR618,YR619,YR620,YR621,YR622,YR623,YR624,YR625,YR626,YR627,YR628,YR629,YR630,YR631,YR632,YR633,YR634,YR635,YR636,YR637,YR638,YR639,YR640,YR641,YR642,YR643,YR644,YR645,YR646,YR647,YR648,YR649,YR650,YR651,YR652,YR653,YR654,YR655,YR656,YR657,YR705,YR706,YR707,YR708,YR709,YR710,YR711,YR712,YR713,YR714,YR715,YR716,YR717,YR718,YR719,YR720,YR721,YR722,YR723,YR724,YR725,YR726,YR727,YR739,YR740,YR741,YR742,YR743,YR744,YR745,YR746,YR747,YR748,YR749,YR750,YR751,YR752,YR753,YR754,YR755,YR756,YR757,YR758,YR759,YR760,YR761",,,,
50,5.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 RC22H 2KOHM 1% 100MW 100PPM 7""","YR26,YR364,YR374,YR395,YR414",,,,
250,3.0,CONN_CONNECTEUR C.I FEMEL.    96PTS,"P2,P3A,P3B",,,,
350,9.0,"CAPACITOR_CERAMIC CAPACITOR II 1206 X7R 100NF 10% 50V 7""","YC60,YC61,YC69,YC70,YC81,YC84,YC86,YC89,YC90",,,,
250,1.0,XFM_TRANSFORMER,XT1,,,,
250,2.0,XFM_TRANSFORMATEUR,"XT2,XT3",,,,
350,7.0,"RESISTOR_THICK-FILM RESISTOR 0603 RC22H 10KOHM 1% 100MW 100PPM 7""","YR160,YR163,YR176,YR181,YR202,YR210,YR214",,,,
250,3.0,IC_COMPARATEUR DE TENSION LM111 COMPARATEUR TO99,"XMA5,XMA6,XMA8",,,,
350,1.0,REF_SCOTCH-WELD DP490 KIT,CY01,,,,
250,1.0,WIRE_MANCHON REPERAGE TH.RETRAC.ORANGE,Z118,,,,
250,1.0,WIRE_MANCHON REPERAGE TH.RETRAC.ROUGE,Z117,,,,
250,1.0,WIRE_MANCHON REPERAGE TH.RETRAC.MARRON,Z116,,,,
250,4.0,WIRE_MANCHON REPERAGE TH.RETRAC.NOIR,Z115,,,,
250,3.0,ASM (000) CONN_BARRETTE RELAIS,"X204_1,X204_2,X204_3",,,,
250,1.0,RES_RESISTANCE BOBINEE,XR18,,,,
250,1.0,CONN_SUPPORT DE MODULE 241 POINTS,X239,,,,
250,3.0,"CONN_BARRETTE 30C.F.DROIT A PIQUER CI P=1,27","XTB2,XTB3,XTB4",,,,
250,3.0,IC_CAVALIER 313-0681-0-00-50-0,E100,,,,
250,1.0,RES_RESISTANCE BOBINEE,XR17,,,,
250,1.0,WIRE_MANCHON REPERAGE TH.RETRAC.JAUNE,Z119,,,,
250,1.0,ASM (000) CONN_BARRETTE RELAIS,X203,,,,
