Op_Seq,BOM_Target(EA),Item_Description,Ref_Des,PDF_Actual(EA),Actual_fond(EA),Not_found(EA),Result
150,42.0,DIODE_DIODE ZENER CMS 5V1 5% SOD80,"XCR8,XCR9,XCR10,XCR11,XCR12,XCR13,XCR90,XCR91,XCR92,XCR93,XCR94,XCR95,XCR96,XCR97,XCR98,XCR99,XCR100,XCR101,XCR102,XCR103,XCR104,XCR105,XCR106,XCR107,XCR125,XCR126,XCR127,XCR128,XCR129,XCR130,XCR131,XCR132,XCR133,XCR134,XCR135,XCR136,XCR137,XCR138,XCR139,XCR140,XCR141,XCR142",,,,
150,1.0,CAPACITOR_CERAMIC CAPACITOR I CAPACITOR_COND CMS 1206 NPO 220PF 5% 100V BDE,XC10,,,,
150,1.0,"CAPACITOR_CONDENSATEUR CERAMIQUE I1206 NPO 1,2NF 5% 50V 7""",XC14,,,,
150,96.0,"RESISTOR_THICK-FILM RESISTOR 0603 28KOHM 1% 100MW 100PPM 7""","XR108,XR109,XR110,XR111,XR112,XR113,XR114,XR115,XR116,XR117,XR118,XR119,XR120,XR121,XR122,XR123,XR124,XR125,XR126,XR127,XR128,XR129,XR130,XR131,XR133,XR134,XR135,XR136,XR137,XR138,XR139,XR140,XR141,XR142,XR143,XR144,XR145,XR146,XR147,XR148,XR149,XR150,XR151,XR152,XR153,XR154,XR155,XR156,XR201,XR202,XR203,XR204,XR205,XR206,XR207,XR208,XR209,XR210,XR211,XR212,XR213,XR214,XR215,XR216,XR217,XR218,XR219,XR220,XR221,XR222,XR223,XR224,XR235,XR236,XR237,XR238,XR239,XR240,XR241,XR242,XR243,XR244,XR245,XR246,XR247,XR248,XR249,XR250,XR251,XR252,XR253,XR254,XR255,XR256,XR257,XR258",,,,
150,1.0,"CAPACITOR_CONDENSATEUR CERAMIQUE I1206 NPO 2,2NF 5% 50V 7""",XC4,,,,
150,1.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 17,4KOHM 1% 100MW 100PPM 7""",XR4,,,,
150,117.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 150KOHM 1% 100MW 100PPM 7""","XR34,XR35,XR36,XR37,XR38,XR39,XR40,XR41,XR42,XR43,XR44,XR45,XR46,XR47,XR48,XR49,XR50,XR51,XR52,XR53,XR54,XR55,XR56,XR57,XR58,XR59,XR60,XR61,XR62,XR63,XR64,XR65,XR66,XR67,XR68,XR69,XR70,XR71,XR72,XR73,XR74,XR75,XR76,XR77,XR78,XR79,XR80,XR81,XR82,XR83,XR84,XR85,XR86,XR87,XR88,XR89,XR90,XR91,XR92,XR93,XR94,XR95,XR96,XR97,XR98,XR99,XR100,XR101,XR102,XR103,XR104,XR105,XR106,XR107,XR160,XR161,XR162,XR163,XR164,XR165,XR166,XR167,XR168,XR169,XR170,XR171,XR172,XR173,XR174,XR175,XR176,XR177,XR178,XR179,XR180,XR181,XR182,XR183,XR184,XR185,XR186,XR187,XR188,XR189,XR190,XR191,XR192,XR193,XR194,XR195,XR196,XR227,XR228,XR229,XR230,XR231,XR232",,,,
150,1.0,XST_TRANS.CMS IRF7309 N+P MOSFET 30V SO8,XQ1,,,,
150,3.0,DIODE_DIODE PROTEC.CMS SMBJ 6V5 5% BI DO214AA,"XCR6,XCR239,XCR244",,,,
150,1.0,IC_IC.CMS MAX3232 TRANSCEIVER RS232 3V SO16,XMA23,,,,
